,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
0,1,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.37",0.1442,0.3474,0.1678,0.119,да
1,2,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Алтайская ул., д.18А",0.04,0.14,0.21,0.0,да
2,3,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.41, корп.3",0.17,0.3765623,0.379,0.0,да
3,4,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.41, корп.4",0.09,0.198,0.207,0.0,да
4,5,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.39",0.13912,0.333364,0.2854,0.0,да
5,6,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.37А",0.0057,0.01995,0.05,0.0,да
6,7,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Алтайская ул., д.18",0.36,0.792208,0.701,0.0,да
7,8,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.37А, корп.1",0.01,0.035,0.105,0.0,да
8,9,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.43",0.24,0.528,0.597,0.0,да
9,10,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.41, корп.2",0.16,0.352,0.364,0.0,да
10,11,04-06-0601/010,"Байкальская ул., д.43, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1966-01-01,ПАО «МОЭК»,"Байкальская ул., д.41, корп.1",0.17,0.374,0.364,0.0,да
11,12,04-10-013,"ул. Татьяны Макаровой, д.3, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2007-01-11,ПАО «МОЭК»,"ул. Дмитриевского, д.5",0.31428,1.09998,0.6471,0.375,нет
12,13,04-10-013,"ул. Татьяны Макаровой, д.3, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2007-01-11,ПАО «МОЭК»,"ул. Дмитриевского, д.3",0.567501,1.2948901,1.442907,0.0,нет
13,14,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Егерская ул., д.2",0.02,0.07,0.08,0.0,да
14,15,04-02-0614/021,"Охотничья ул., д.6, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1972-01-01,ПАО «МОЭК»,"Егерская ул., д.12",0.027,0.0594,0.13,0.0,да
