,ID УУ,Адрес,Полный адрес,Округ,UNOM,Группа,№ ОДС,Адрес ОДС,Потребитель (или УК),ЦТП
0,785480981,"10-я Парковая ул., д. 15","город Москва, 10-я Парковая улица, дом 15",ВАО,18777,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/185
1,785481133,"10-я Парковая ул., д. 17","город Москва, 10-я Парковая улица, дом 17",ВАО,18778,МКД,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/185
2,1881452,"10-я Парковая ул., д. 18А","город Москва, 10-я Парковая улица, дом 18А",ВАО,2105327,Бюджет,,,ГКУ ДИРЕКЦИЯ ДОНМ,04-05-0604/124
3,785481250,"10-я Парковая ул., д. 4","город Москва, 10-я Парковая улица, дом 4",ВАО,18773,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064
4,785481200,"10-я Парковая ул., д. 6","город Москва, 10-я Парковая улица, дом 6",ВАО,18775,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064
5,173701132,"10-я ул. Соколиной Горы, д. 12","город Москва, 10-я улица Соколиной Горы, дом 12",ВАО,24194,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/011-7
6,152823395,"10-я ул. Соколиной Горы, д. 20","город Москва, 10-я улица Соколиной Горы, дом 20",ВАО,24195,МКД,ОДС №33-Соколиная Гора,"город Москва, улица Уткина, дом 40А","ГБУ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""",04-02-0409/109
7,214413942,"10-я ул. Соколиной Горы, д. 26А","город Москва, 10-я улица Соколиной Горы, дом 26А",ВАО,24196,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/109
8,214402322,"10-я ул. Соколиной Горы, д. 28","город Москва, 10-я улица Соколиной Горы, дом 28",ВАО,24197,МКД,ОДС №33-Соколиная Гора,"город Москва, улица Уткина, дом 40А","ГБУ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""",04-02-0409/109
9,214408687,"10-я ул. Соколиной Горы, д. 6, к. 1","город Москва, 10-я улица Соколиной Горы, дом 6, корпус 1",ВАО,65016,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/032
10,154379478,"10-я ул. Соколиной Горы, д. 8, к. 2","город Москва, внутригородская территория муниципальный округ Соколиная Гора, 10-я улица Соколиной Горы, дом 8, корпус 2",ВАО,24193,МКД,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3","ООО ""УК М. Р-Н ""СОКОЛИНАЯ ГОРА""",04-02-0409/032
11,173675187,"11-я Парковая ул., д. 1/89, к. 1","город Москва, 11-я Парковая улица, дом 1/89, корпус 1",ВАО,18780,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/066
12,173675204,"11-я Парковая ул., д. 1/89, к. 2","город Москва, 11-я Парковая улица, дом 1/89, корпус 2",ВАО,18781,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052
13,175262169,"11-я Парковая ул., д. 10","город Москва, 11-я Парковая улица, дом 10",ВАО,18789,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/052
14,92696806,"11-я Парковая ул., д. 14","город Москва, 11-я Парковая улица, дом 14",ВАО,18790,МКД,ОДС №4-Восточное Измайлово,"город Москва, 11-я Парковая улица, дом 1/89, корпус 1","ООО ""РЭУ-29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/053
15,785479134,"11-я Парковая ул., д. 19","город Москва, 11-я Парковая улица, дом 19",ВАО,19205,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064
16,785481160,"11-я Парковая ул., д. 21","город Москва, 11-я Парковая улица, дом 21",ВАО,18791,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/064
17,161827707,"11-я Парковая ул., д. 24","город Москва, 11-я Парковая улица, дом 24",ВАО,18792,МКД,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/101
18,337705366,"11-я Парковая ул., д. 25","город Москва, 11-я Парковая улица, дом 25",ВАО,65081,МКД,ОДС №57-Измайлово,"город Москва, 9-я Парковая улица, дом 27","ГБУ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""",04-05-0604/047
19,190957878,"11-я Парковая ул., д. 26А","город Москва, 11-я Парковая улица, дом 26А",ВАО,18795,МКД,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44","ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО""",04-07-0604/063
